ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Raspberry Pi Pico,2,HWFND
2,RP2040 Microcontroller,3,HWFND
3,Microcontroller,,HWFND
4,Cytron Maker Pi RP2040,1,HWFND
5,Solderless Breadboard,,HWFND
6,Jumper Wires,,HWFND
7,Momentary Push Button,,HWFND
8,Potentiometer,,HWFND
9,Rotary Encoder,,HWFND
10,SPI Interface,,HWFND
11,I2C Interface,,HWFND
12,SPI Clock Line,10,HWFND
13,SPI Data Line,10,HWFND
14,Chip Select Pin,10,HWFND
15,Data Command Pin,10,HWFND
16,Display Reset Pin,10,HWFND
17,128x64 Monochrome OLED,10,HWFND
18,SSD1306 Display Driver,17|12|13|14|11,HWFND
19,240x240 Color Round Display,10,HWFND
20,GC9A01 Display Driver,19|12|13|14|16,HWFND
21,Pull-Up Resistor,7,HWFND
22,Low-Cost Robotics Kit,1|17|19,HWFND
23,Breadboard Wiring Diagram,5|6|1,HWFND
24,Display Power Requirements,17|19,HWFND
25,Display Mounting Considerations,17|19,HWFND
26,Screen-Based Robot Face,,HIST
27,Social Robot,26,HIST
28,Anki Cozmo,26|27,HIST
29,Anki Vector,28,HIST
30,Emotix Miko,26|27,HIST
31,Blue Frog Robotics Buddy,26|27,HIST
32,Cozmo Emotion Engine,28,HIST
33,Vector Companion App,29,HIST
34,Miko Educational Robot Design,30,HIST
35,Buddy Mobile Robot Base,31,HIST
36,Robot Startup Funding,28,HIST
37,Robot Product Discontinuation,29|36,HIST
38,Crowdfunding Campaign,31,HIST
39,Robot Commercial Outcome,28|29|30|31,HIST
40,Robot Face Design Scoping,35|39,HIST
41,Companion Robot Category,30|31,HIST
42,Mass-Market Robot Toy,28,HIST
43,Robot Voice Interaction,29,HIST
44,Robot Business Case Study,36|37|38|39,HIST
45,Hardware Cost Trade-Off,22|39,HIST
46,Anki Company History,28|29|37,HIST
47,Consumer Robotics Market,42|41,HIST
48,Robot Personality Branding,32|33,HIST
49,Screen As Face Metaphor,26|32,HIST
50,Educational Robotics Market,34|47,HIST
51,MicroPython,1,MPYFN
52,Thonny IDE,51,MPYFN
53,MicroPython REPL,51|52,MPYFN
54,Variable,51,MPYFN
55,Constant,54,MPYFN
56,Data Type,54,MPYFN
57,Integer Data Type,56,MPYFN
58,Boolean Data Type,56,MPYFN
59,Function Definition,54|64,MPYFN
60,Function Parameter,59,MPYFN
61,Function Return Value,59,MPYFN
62,For Loop,54,MPYFN
63,While Loop,54,MPYFN
64,Conditional Statement,58|71,MPYFN
65,Import Statement,66,MPYFN
66,Module,51,MPYFN
67,List Data Structure,56|54,MPYFN
68,Tuple Data Structure,67,MPYFN
69,Dictionary Data Structure,67,MPYFN
70,Comment Syntax,,MPYFN
71,Indentation Rules,,MPYFN
72,Bitwise Operator,57,MPYFN
73,Bit Shifting,72,MPYFN
74,FrameBuf Module,65|66,MPYFN
75,String Formatting,56,MPYFN
76,Default Parameter Value,60,MPYFN
77,Multiple Return Values,61|68,MPYFN
78,Global Versus Local Scope,59|54,MPYFN
79,Docstring Convention,59|70,MPYFN
80,Screen Coordinate System,84,DISPC
81,Origin At Upper-Left,80,DISPC
82,X Axis Direction,80,DISPC
83,Y Axis Direction,80,DISPC
84,Pixel,,DISPC
85,Frame Buffer,84|74,DISPC
86,Display Resolution,84|17|19,DISPC
87,Monochrome Color Model,84|17,DISPC
88,Display Buffer Memory,85,DISPC
89,Screen Refresh Cycle,85,DISPC
90,Aspect Ratio,86,DISPC
91,Circular Display Geometry,19|80,DISPC
92,Coordinate Plane Quadrant,80|81|82|83,DISPC
93,Bounding Box,80|86,DISPC
94,Display Initialization,18|20|53,DISPC
95,Show Method,85|94,DISPC
96,Frame Buffer Size Calculation,85|86|97,DISPC
97,Bit Depth,87,DISPC
98,Byte Alignment In Buffer,85|97,DISPC
